iter	Passed	Remaining
0	143	70928
1	150	37114
2	158	25951
3	165	20321
4	172	16867
5	179	14628
6	186	12974
7	193	11745
8	200	10787
9	206	10004
10	213	9379
11	220	8864
12	228	8442
13	234	8051
14	242	7749
15	249	7449
16	256	7189
17	261	6916
18	265	6649
19	270	6399
20	274	6183
21	278	5974
22	282	5781
23	286	5614
24	290	5446
25	293	5277
26	296	5121
27	299	4976
28	302	4847
29	304	4716
30	307	4595
31	310	4484
32	313	4373
33	315	4274
34	318	4180
35	321	4089
36	323	4000
37	326	3915
38	328	3837
39	331	3763
40	334	3695
41	337	3636
42	340	3571
43	342	3507
44	345	3445
45	348	3396
46	351	3344
47	354	3291
48	356	3240
49	359	3191
50	361	3143
51	365	3105
52	368	3062
53	370	3019
54	372	2976
55	375	2937
56	377	2897
57	380	2862
58	383	2826
59	386	2792
60	388	2759
61	391	2726
62	394	2697
63	397	2669
64	399	2639
65	402	2611
66	405	2586
67	408	2559
68	411	2535
69	414	2508
70	416	2482
71	419	2457
72	422	2433
73	424	2410
74	427	2389
75	430	2365
76	437	2369
77	450	2404
78	460	2417
79	467	2420
80	481	2453
81	488	2455
82	496	2459
83	504	2463
84	513	2470
85	521	2471
86	529	2479
87	537	2479
88	545	2483
89	557	2503
90	565	2502
91	572	2500
92	577	2489
93	582	2477
94	586	2462
95	590	2446
96	593	2428
97	596	2410
98	599	2391
99	602	2372
100	605	2356
101	608	2337
102	610	2317
103	613	2299
104	615	2280
105	617	2261
106	620	2244
107	622	2226
108	625	2208
109	627	2191
110	629	2173
111	632	2156
112	634	2139
113	636	2123
114	639	2106
115	641	2090
116	643	2074
117	646	2058
118	648	2043
119	650	2028
120	653	2013
121	655	1999
122	658	1985
123	660	1971
124	663	1957
125	665	1945
126	668	1932
127	671	1919
128	673	1906
129	676	1893
130	678	1880
131	681	1867
132	683	1855
133	686	1843
134	688	1830
135	690	1817
136	693	1806
137	695	1795
138	698	1784
139	701	1773
140	703	1761
141	706	1750
142	708	1739
143	711	1728
144	714	1719
145	717	1710
146	719	1699
